tableName,tableId,permission
Accounting Books,serviceitemitemaccountingbookdetail,Lists - Items
Levels,serviceitemitemquantitypricingdiscount,Lists - Quantity pricing Schedules
Levels,serviceitemitemquantitypricinglevel,Lists - Items
Vendors,serviceitemitemvendor,Lists - Vendors
Site Categories,serviceitemsitecategory,Lists - Items
ItemSubsidiaries,serviceitemsubsidiarymap,Lists - Items
Translation,serviceitemtranslation,Lists - Items
URL Component Alias,serviceitemurlcomponentaliases,Lists - Items
Accounting Books,servicepurchaseitemitemaccountingbookdetail,Lists - Items
Vendors,servicepurchaseitemitemvendor,Lists - Vendors
ItemSubsidiaries,servicepurchaseitemsubsidiarymap,Lists - Items
Translation,servicepurchaseitemtranslation,Lists - Items
Correlated Items,serviceresaleitemcorrelateditem,Lists - Items
Associated Images,serviceresaleitemimage,Lists - Items
Accounting Books,serviceresaleitemitemaccountingbookdetail,Lists - Items
Levels,serviceresaleitemitemquantitypricingdiscount,Lists - Quantity pricing Schedules
Levels,serviceresaleitemitemquantitypricinglevel,Lists - Items
Vendors,serviceresaleitemitemvendor,Lists - Vendors
Site Categories,serviceresaleitemsitecategory,Lists - Items
ItemSubsidiaries,serviceresaleitemsubsidiarymap,Lists - Items
Translation,serviceresaleitemtranslation,Lists - Items
URL Component Alias,serviceresaleitemurlcomponentaliases,Lists - Items
Correlated Items,servicesaleitemcorrelateditem,Lists - Items
Associated Images,servicesaleitemimage,Lists - Items
Accounting Books,servicesaleitemitemaccountingbookdetail,Lists - Items
Levels,servicesaleitemitemquantitypricingdiscount,Lists - Quantity pricing Schedules
Levels,servicesaleitemitemquantitypricinglevel,Lists - Items
Site Categories,servicesaleitemsitecategory,Lists - Items
ItemSubsidiaries,servicesaleitemsubsidiarymap,Lists - Items
Translation,servicesaleitemtranslation,Lists - Items
URL Component Alias,servicesaleitemurlcomponentaliases,Lists - Items
Shipping Items,shippingmethodrulerelation,Lists - Shipping Items
Shipping Partners Plugin,shippingpartnersplugin,Setup - SuiteScript
Site Cart Columns,sitecartcolumns,Setup - Set Up Web Site
URL Component Alias,sitecategoryurlcomponentalias,Setup - Set Up Web Site
Site Currency,sitecurrency,Setup - Set Up Web Site
Touch Points,siteentrypoint,Setup - Set Up Web Site
Site Section,sitesection,Setup - Set Up Web Site
Solution,solution,Lists - Knowledge Base
Standard Cost Version,standardcostversion,Lists - Standard Cost Version
Standard Cost Vesion to Location Map,standardcostversionlocationmap,Lists - Standard Cost Version
Statistical Journal,statisticaljournalentry,Transactions - Make Journal Entry
Statistical Schedule,statisticalschedule,Transactions - Make Journal Entry
Store Pickup Fulfillment,storepickupfulfillment,Transactions - Store Pickup Fulfillment
Items,storepickupfulfillmentitem,Transactions - Store Pickup Fulfillment
Web Site Tab,storetab,Lists - Store Tabs
URL Component Alias,storetaburlcomponentalias,Setup - Set Up Web Site
Custom Sublist,sublist,Setup - Custom Sublist
Subscription,subscription,Lists - Subscriptions
Subscription Change Order,subscriptionchangeorder,Lists - Subscriptions
Subscription Line,subscriptionline,Lists - Subscriptions
Subscription Plan,subscriptionplan,Lists - Subscription Plan
Members,subscriptionplanmember,Lists - Subscription Plan
ItemSubsidiaries,subscriptionplansubsidiarymap,Lists - Items
Subscription Renewal History,subscriptionrenewalhistory,Lists - Subscriptions
Subscription Term,subscriptionterm,Setup - Accounting Lists
Subsidiary,subsidiary,Lists - Subsidiaries
Address,subsidiarymainaddress,Lists - Address
Subsidiary Period End Journal Grouping Segment Map,subsidiaryperiodendjournalgroupingsegmentmap,Lists - Subsidiaries
Address,subsidiaryreturnaddress,Lists - Address
Address,subsidiaryshippingaddress,Lists - Address
Tax Registrations,subsidiarytaxregistration,Lists - Subsidiaries
ItemSubsidiaries,subtotalitemsubsidiarymap,Lists - Items
Translation,subtotalitemtranslation,Lists - Items
Suitelet,suitelet,Setup - SuiteScript
Suitelet Deployment,suiteletdeployment,Setup - SuiteScript
Supply Chain Snapshot,supplychainsnapshot,Lists - Supply Chain Snapshot List
Supply Chain Snapshot Details,supplychainsnapshotdetails,Lists - Supply Chain Snapshot List
Supply Chain Snapshot Simulation,supplychainsnapshotsimulation,Lists - Supply Chain Snapshot List
Case,supportcase,Lists - Cases
History,supportcaseescalatehist,Lists - Cases
Escalate To,supportcaseescalatetomap,Lists - Cases
Issues,supportcaseissuemap,Lists - Issues
Files,supportcasemediaitemmap,Lists - Cases
Solutions,supportcasesolutionmap,Lists - Cases
Tag,tag,Lists - Website (External) publisher
Task Item Status,taskitemstatus,Setup - Manage Accounting Periods
Task Complete - Amount,tasksfixedamount,Lists - Project Revenue Rules
Task Complete - Percent From Total,taskspctfromtotal,Lists - Project Revenue Rules
Tax Calculation Plugin,taxcalculationplugin,Setup - SuiteScript
Tax Item,taxitemtaxgroup,Lists - Tax Records
Tax Type,taxtype,Lists - Tax Records
Accounts,taxtypenexusaccounts,Lists - Tax Records
Terms,term,Setup - Accounting Lists
Test Plugin,testplugin,Setup - SuiteScript
Time Tracking,timebill,Transactions - Track Time
Weekly Timesheet,timesheet,Transactions - Track Time
Published At,topicpublish,Lists - Knowledge Base
Transaction,transaction,Transactions - Find Transaction
Transaction Address,transactionaddressmapping,Lists - Address
Address,transactionaddressmappingaddress,Lists - Address
Address,transactionbillingaddress,Lists - Address
Address,transactionbillingaddressbookentityaddress,Lists - Address
Transaction Deletion Reason,transactiondeletionreason,Setup - Accounting Lists
Transaction Audit Trail,transactionhistory,Transactions - Audit Trail
Transaction Line,transactionline,Transactions - Find Transaction
Transaction Line Address,transactionlineaddressmapping,Lists - Address
Address,transactionlineaddressmappinglineaddress,Lists - Address
Transaction Numbering Audit Log,transactionnumberingauditlog,Lists - Access to transaction numbering audit log
Address,transactionpayeeaddressbookentityaddress,Lists - Address
Address,transactionreturnaddressbookentityaddress,Lists - Address
Address,transactionshippingaddress,Lists - Address
Address,transactionshippingaddressbookentityaddress,Lists - Address
Tax Detail,transactiontaxdetail,Lists - Tax Records
Address,transferordershippingaddress,Lists - Address
Undelivered Email,undeliveredemail,Lists - Undelivered Emails
Units Type,unitstype,Lists - Units
Units,unitstypeuom,Lists - Units
Upsell,upsellitem,Lists - Upsell Assistant
Usage,usage,Lists - Subscriptions
Userevent Script,usereventscript,Setup - SuiteScript
My Access Token,useroauthtoken,Setup - User Access Tokens
Vendor,vendor,Lists - Vendors
ACH,vendorachacct,Lists - Vendors
Address,vendoraddressbookentityaddress,Lists - Address
Address,vendorbillbillingaddress,Lists - Address
Expenses,vendorbillexpensemachine,Transactions - Bills
Bulk Merge,vendorbulkmerge,Lists - Mail Merge
Campaigns,vendorcampaigns,Lists - Campaign History
Vendor Category,vendorcategory,Setup - Accounting Lists
Contacts,vendorcompanycontact,Lists - Contacts
Address,vendorcreditbillingaddress,Lists - Address
Expenses,vendorcreditexpensemachine,Transactions - Enter Vendor Credits
Currencies,vendorcurrencybalance,Lists - Vendors
Address,vendorpaymentpayeeaddress,Lists - Address
Rates,vendorrate,Lists - Vendors
Discount,vendorrequestforquotediscount,Transactions - Vendor Request For Quote
Address,vendorreturnauthorizationbillingaddress,Lists - Address
Expenses,vendorreturnauthorizationexpensemachine,Transactions - Vendor Return Authorization
Vendor-Subsidiary Relationship,vendorsubsidiaryrelationship,Lists - Vendors
Work Breakdown Structure,wbs,Lists - Work Breakdown Structure
Web Site,website,Setup - Set Up Web Site
Web Site Field Sets,websitefieldset,Setup - Set Up Web Site
Site Language,websitelanguage,Setup - Set Up Web Site
SSP Application,webapp,Setup - SuiteScript
Work Calendar,workcalendar,Lists - Work Calendar
Holiday Date,workcalendarholiday,Lists - Work Calendar
Workflow Action Script,workflowactionscript,Setup - SuiteScript
Workflow Action Script Deployment,workflowactionscriptdeployment,Setup - SuiteScript
Workplace,workplace,Lists - Workplaces
Address,workplacemainaddress,Lists - Address
