tableName,tableId,permission,feature
Costing Method,CostingMethodType,,
Country,Country,ADMI_SETUPCOMPANY,
Coupon Code,couponCode,LIST_PROMOTIONCODE,Promotion Codes
Credit Hold,Creditholdoverridetype,,
Currency,currency,LIST_CURRENCY,Multiple Currencies
Currency Exchange Rate,currencyRate,LIST_CURRENCY,
Currency Exchange Rate Type,CurrencyRateType,LIST_CURRENCY,Currency Exchange Rate Types
Currency Symbol,CurrencySymbol,LIST_CURRENCY,
Customer,Customer,LIST_CUSTJOB,
Customer Category,customerCategory,ADMI_ACCOUNTINGLIST,
Customer Message,customerMessage,ADMI_ACCOUNTINGLIST,
Customer stage,EntityStage,,
Customer-Subsidiary Relationship,CustomerSubsidiaryRelationship,LIST_CUSTJOB,Subsidiaries
Custom Field,CustomField2,ADMI_CUSTOMSCRIPT,
Custom Field Definition,CustomField,ADMI_CUSTFIELD,
Custom GL Plugin,customGlPlugin,ADMI_CUSTOMSCRIPT,
Custom List Definition,CustomList,ADMI_CUSTLIST,
Custom Plug-in Implementation,plugInTypeImpl,ADMI_CUSTOMSCRIPT,
Custom Plug-In Type,plugInType,ADMI_CUSTOMSCRIPT,
Custom Record Action Script,CustomRecordActionScript,ADMI_CUSTOMSCRIPT,Server SuiteScript
Custom Record Action Script Deployment,RecordActionScriptDeployment,ADMI_CUSTOMSCRIPT,Server SuiteScript
Custom Record Definition,CustomRecordType,ADMI_CUSTRECORD,Custom Records
Custom Segment Definition,CustomSegment,ADMI_MANAGECUSTOMSEGMENTS,Custom Segments
Custom Segment Field,CustomSegmentField,ADMI_MANAGECUSTOMSEGMENTS,
Custom Sublist Definition,sublist,ADMI_SUBLIST,
Custom Transaction Definition,CustomTransactionType,ADMI_CUSTTRANSACTION,Custom Transactions
Dataset Builder Plug-in,datasetBuilderPlugin,ADMI_CUSTOMSCRIPT,SuiteAnalytics Workbook
Day of Week,DayOfWeek,,
Day Of Week in Month,EventDowim,LIST_BILLINGSCHEDULE,Advanced Billing
Default Chart Type,alignOrHide,,
Deleted Record,DeletedRecord,ADMI_DELETEDRECORD,
Demand Source,ItemDemandSource,,
Department,department,LIST_DEPARTMENT,Departments
Device ID,DeviceId,ADMI_DEVICE_ID,
Device Status,DeviceStatusType,ADMI_DEVICE_ID,
Direction,NoteDirectionType,,
Discount Type,promocodediscounttype,LIST_PROMOTIONCODE,
Document Folder,MediaItemFolder,LIST_FILECABINET,
Domain,domain,ADMI_DOMAINS,
dual,dual,,
E-Commerce Indicator (ECI),ThreeDSECommerceIndicator,,
Effectivity Based On,EffectivityBasedOnType,,
Eligibility,RecSysEligibility,ADMI_RECSYS,Intelligent Recommendations
Email Capture Plugin,emailCapturePlugin,ADMI_CUSTOMSCRIPT,
Email Preference Type,EmailPreferenceType,,
Email Template,EmailTemplate,LIST_EMAILTEMPLATE,Is A Business
Employee,employee,LIST_EMPLOYEE_RECORD,
Employee Directory,EmployeeList,ADMI_EMPLCATEGORY,Intranet
Employee Expense Source Type,EmployeeExpenseSourceType,ADMI_EMPLOYEE_EXPENSE_SOURCE,Expense Reports
Employee Filing Status,EmployeeFilingStatus,,
Employee Status,EmployeeStatus,ADMI_EMPLOYEELIST,
Employee-Subsidiary Relationship,EmployeeSubsidiaryRelationship,LIST_EMPLOYEE,Subsidiaries
Employee Type,EmployeeType,ADMI_EMPLOYEELIST,Accounting
Employee Type Category,EmployeeTypeCategory,,
Employment Status Category,EmployeeStatusCategory,,
Entity,entity,LIST_FIND,
Entity List Type,EntityListType,,
Entity Status,EntityStatus,,
Entity-Subsidiary Relationship,EntitySubsidiaryRelationship,LIST_ENTITYSUBSIDIARYRELATION,Subsidiaries
Event,CalendarEvent,LIST_EVENT,
Event Priority,EventPriority,,
Event Type,EventType,,
Exception Type,FulfillmentExceptionType,,
Execution Context,executionContext,,
Execution Log,UsrExecutionLog,ADMI_ANALYTICS,
Expense Category,ExpenseCategory,LIST_CATEGORY,Expense Categories
Expense Report Policy,ExpenseReportPolicy,ADMI_EXPENSEREPORTPOLICY,Expense Reports
Fair Value Range Checking Policy,FairValueRangePolicy,LIST_FAIRVALUEPRICE,
Fax Template,FaxTemplate,LIST_FAXTEMPLATE,Mail Merge
Features,CompanyFeatureSetup,LIST_COMPANY_FEATURE_SETUP,
Field,SystemNoteField,,
Field Type,scriptEventType,,
Field Type,scriptFieldType,,
File,File,LIST_FILECABINET,
Filter Type,PlanningEngineFilterType,,
Financial Institution Connectivity Plug-in,fiConnectivityPlugin,ADMI_CUSTOMSCRIPT,
Financial Institution Parser Plug-in,FIParserPlugin,ADMI_CUSTOMSCRIPT,
First Run Time Select,FirstRunTimeSelect,,
Fiscal Calendar,FiscalCalendar,ADMI_ACCTPERIODS,Multiple Calendars
Folder Type,FolderType,,
Forecast,Forecast,TRAN_FORECAST,
Forecast Type,ForecastType,,
Format Profile,formatProfile,ADMI_FINANCIALINSTITUTION,
Frequency,EventFrequency,,
Frequency,FrequencyType,,
Fulfillment Choice,FulfillmentChoice,,
Fulfillment Exception Reason,fulfillmentExceptionReason,ADMI_FFTEXCEPTIONREASON,
Fulfillment Type,FulfillmentRequestType,,
Gateway Token Family,gatewayTokenFamily,,
General Token,generalToken,LIST_GENERAL_TOKEN,Credit Card Payments
Generic Resource,GenericResource,LIST_GENERICRESOURCE,Project Management
Generic Resource-Subsidiary Relationship,GenericResourceSubsidiaryRelationship,LIST_GENERICRESOURCE,Project Management and Subsidiaries
Gift Certificate,GiftCertificate,LIST_GIFT_CERTIFICATE,
Group,EntityGroup,LIST_CRMGROUP,
Group Type,entityGroupType,,
Handling Mode,paymentHandlingMode,,
Imported Employee Expense,ImportedEmployeeExpense,LIST_IMPORTED_EMPLOYEE_EXPENSE,Expense Reports
Imported Employee Expense Status,ImportedEmployeeExpenseStatus,LIST_IMPORTED_EMPLOYEE_EXPENSE,Expense Reports
Incoterm,Incoterm,ADMI_ACCOUNTINGLIST,Purchase Orders
Incoterm Type,IncotermType,ADMI_ACCOUNTINGLIST,Purchase Orders
Info Item,infoItem,ADMI_STORESETUP,
Intelligent Item Recommendations,RecSysAnalyticsReportAgg,ADMI_RECSYS,Intelligent Recommendations
Intelligent Item Recommendations,RecSysAnalyticsReport,ADMI_RECSYS,Intelligent Recommendations
Intelligent Recommendations Analytics-Transaction Line Relationship,RecSysConversion,ADMI_RECSYS,Intelligent Recommendations
Inventory Balance,InventoryBalance,LIST_ITEM,Advanced Bin/Numbered Inventory Management
Inventory Cost Template,InventoryCostTemplate,LIST_INVCOSTTEMPLATE,Standard Costing
Inventory Item Type,itemType,,
Inventory Standard Cost,standardcostdefaulttype,,
Issue Version Relation,IssueVersionRelation,,
Item,generalizedItem,LIST_ITEM,
Item,item,LIST_ITEM,
Item Collection,ItemCollection,LIST_ITEM_COLLECTION,Inventory
Item Demand Plan,ItemDemandPlan,LIST_ITEMDEMANDPLAN,Material Requirements Planning Or Demand Planning
Item Pricing,InvtItemPriceHistory,LIST_ITEM,
Item Revision,ItemRevision,LIST_ITEM_REVISION,Assembly Without Advanced BoM
Item Source,ItemSource,,Work Orders
Item subtype,ItemSubtype,,
Item Supply Plan,ItemSupplyPlan,LIST_ITEMSUPPLYPLAN,Demand Planning
Item Type,PresItemType,ADMI_STORESETUP,
Item unit,ItemUnit,,
Job Requisition Posting Type,JobRequisitionPostingType,,
Job Requisition Status,JobRequisitionStatus,,
Job-Subsidiary Relationship,ProjectSubsidiaryRelationship,LIST_JOB,Projects and Subsidiaries
Knowledge Base,KnowledgeBase,ADMI_KNOWLEDGEBASE,
Lag Type,LagType,,
Language,Language,,
Letter Template,MailTemplate,LIST_EMAILTEMPLATE,Mail Merge
Limit Type,LimitType,ADMI_EXPENSEREPORTPOLICY,Expense Reports
Location,Location,LIST_LOCATION,Locations
Location Type,LocationType,,
Login Audit Trail,LoginAudit,ADMI_AUDITLOGIN,
Login Restrictions,IPRestrictions,ADMI_AUDITLOGIN,
Lot Sizing Method,ItemSupplyLotSizingType,,
Manufacturing Component,manufacturingComponent,TRAN_FIND,Assembly Items
Manufacturing Cost Template,ManufacturingCostTemplate,LIST_MFGCOSTTEMPLATE,Manufacturing Routing and Work Center
Manufacturing Operation Task,manufacturingOperationTask,TRAN_WORKORD,Manufacturing Routing and Work Center
Manufacturing Planned Time,MfgPlannedTime,TRAN_WORKORD,Manufacturing Routing and Work Center
Manufacturing Routing,ManufacturingRouting,LIST_MFGROUTING,Manufacturing Routing and Work Center
Manufacturing Transaction,manufacturingTransaction,TRAN_FIND,Assembly Items
Map/Reduce Script,mapReduceScript,ADMI_CUSTOMSCRIPT,
Map/Reduce Script Deployment,mapReduceScriptDeployment,ADMI_CUSTOMSCRIPT,
Massupdate Script,massUpdateScript,ADMI_CUSTOMSCRIPT,
Massupdate Script Deployment,massUpdateScriptDeployment,ADMI_CUSTOMSCRIPT,
Match Code,verificationMatchCode,,
Media Type,MediaType,,
Memorized Transaction Definition,MemDoc,LIST_MEMDOC,
Memorized Transaction Template,memDocTransactionTemplate,LIST_MEMDOC,
Message,Message,LIST_CRMMESSAGE,
Message Type,MessageType,,
Milestone,BillingMilestone,LIST_TASK,
Mit Purpose,mitPurpose,,
Mode,ApplicabilityModeType,LIST_PROMOTIONCODE,
Months Of Year,MonthsOfYear,,
My Access Token,UserOAuthToken,ADMI_MANAGE_OWN_OAUTH_TOKENS,Token-based Authentication
Negative Number Format,NegativeNumberFormat,,
Nexus,Nexus,LIST_TAXITEM,
Note,note,LIST_HISTORY,Customer Relationship Management
Number Format,NumberFormat,,
Online Case Form,onlineCaseForm,ADMI_CASEFORM,Online Forms
Online Form Template,OnlineFormTemplate,LIST_CRMTEMPLATE,Marketing Automation
Online Lead Form,OnlineLeadForm,ADMI_CUSTOMERFORM,Online Forms
